M1	M2	M3	At	Ab	Atau	mu	mA	meL	mmuL	mtauL	meR	mmuR	mtauR	mqL1	mqL2	mqL3	muR	mcR	mtR	mdR	msR	mbR	tanb
-212.697465	1355.41624	2121.09677	3803.97439	-591.504574	1733.66904	7584.64098	3043.12205	891.437238	891.437238	3769.458	5631.15774	1170.79751	1170.79751	1760.16138	1760.16138	1496.92565	4313.16883	4313.16883	2616.02194	2358.05641	2358.05641	2800.05412	41.275717
-212.697465	1355.41624	2121.09677	3803.9732	-591.503978	1733.66904	7584.63979	3043.12205	891.437091	891.437091	3769.458	5631.15774	1170.79759	1170.79759	1760.16153	1760.16153	1496.92579	4313.16883	4313.16883	2616.02194	2358.05627	2358.05627	2800.05412	41.2757136
-212.697465	1355.41624	2121.09677	3803.97439	-591.504574	1733.66904	7584.64098	3043.12205	891.437238	891.437238	3769.458	5631.15774	1170.79751	1170.79751	1760.16138	1760.16138	1496.92565	4313.16883	4313.16883	2616.02194	2358.05641	2358.05641	2800.05412	41.275717
-212.697465	1355.41624	2121.09677	3803.9732	-591.503978	1733.66904	7584.63979	3043.12205	891.437091	891.437091	3769.458	5631.15774	1170.79759	1170.79759	1760.16153	1760.16153	1496.92579	4313.16883	4313.16883	2616.02194	2358.05627	2358.05627	2800.05412	41.2757136
-212.697465	1355.41624	2121.09677	3803.97439	-591.504574	1733.66904	7584.64098	3043.12205	891.437238	891.437238	3769.458	5631.15774	1170.79751	1170.79751	1760.16138	1760.16138	1496.92565	4313.16883	4313.16883	2616.02194	2358.05641	2358.05641	2800.05412	41.275717
-212.697392	1355.41624	2121.09677	3803.9732	-591.503978	1733.66904	7584.63979	3043.12205	891.437165	891.437165	3769.458	5631.15774	1170.79751	1170.79751	1760.16153	1760.16153	1496.92579	4313.16883	4313.16883	2616.02194	2358.05627	2358.05627	2800.05412	41.2757136
-212.697465	1355.41624	2121.09677	3803.97439	-591.504574	1733.66904	7584.64098	3043.12205	891.437238	891.437238	3769.458	5631.15774	1170.79751	1170.79751	1760.16138	1760.16138	1496.92565	4313.16883	4313.16883	2616.02194	2358.05641	2358.05641	2800.05412	41.275717
-212.697465	1355.41624	2121.09677	3803.97439	-591.504574	1733.66904	7584.64098	3043.12205	891.437238	891.437238	3769.458	5631.15774	1170.79751	1170.79751	1760.16138	1760.16138	1496.92565	4313.16883	4313.16883	2616.02194	2358.05641	2358.05641	2800.05412	41.275717
-212.697465	1355.41624	2121.09677	3803.97439	-591.504574	1733.66904	7584.64098	3043.12205	891.437238	891.437238	3769.458	5631.15774	1170.79751	1170.79751	1760.16138	1760.16138	1496.92565	4313.16883	4313.16883	2616.02194	2358.05641	2358.05641	2800.05412	41.275717
-212.697465	1355.41624	2121.09677	3803.9732	-591.503978	1733.66904	7584.63979	3043.12205	891.437091	891.437091	3769.458	5631.15774	1170.79759	1170.79759	1760.16153	1760.16153	1496.92579	4313.16883	4313.16883	2616.02194	2358.05627	2358.05627	2800.05412	41.2757136
2822.65766	1141.15307	1427.73718	-1290.91859	-441.207886	-1017.39466	2102.07343	2412.62934	3489.49997	3489.49997	5062.9787	5280.19525	1767.25495	1767.25495	3086.3485	3086.3485	2800.99561	6323.27962	6323.27962	3634.12679	1508.98907	1508.98907	6072.28065	94.4281313
2822.65766	1141.15307	1427.73718	-1290.91859	-441.207886	-1017.39466	2102.07343	2412.62934	3489.49997	3489.49997	5062.9787	5280.19525	1767.25495	1767.25495	3086.3485	3086.3485	2800.99561	6323.27962	6323.27962	3634.12679	1508.98907	1508.98907	6072.28065	94.4281313
2822.65766	1141.15292	1427.73718	-1290.9174	-441.206694	-1017.39466	2102.07462	2412.62963	3489.49997	3489.49997	5062.97929	5280.19584	1767.2551	1767.2551	3086.3488	3086.3488	2800.99561	6323.27962	6323.27962	3634.12679	1508.98907	1508.98907	6072.28065	94.4281313
2822.65766	1141.15307	1427.73718	-1290.91859	-441.207886	-1017.39466	2102.07343	2412.62934	3489.49997	3489.49997	5062.9787	5280.19525	1767.25495	1767.25495	3086.3485	3086.3485	2800.99561	6323.27962	6323.27962	3634.12679	1508.98907	1508.98907	6072.28065	94.4281313
2822.65737	1141.15292	1427.73747	-1290.91859	-441.207886	-1017.39466	2102.07343	2412.62934	3489.49997	3489.49997	5062.97929	5280.19525	1767.2551	1767.2551	3086.3485	3086.3485	2800.99561	6323.27962	6323.27962	3634.12679	1508.98877	1508.98877	6072.28065	94.4281313
2822.65737	1141.15307	1427.73733	-1290.91859	-441.206694	-1017.39466	2102.07462	2412.62963	3489.49997	3489.49997	5062.97929	5280.19525	1767.25525	1767.25525	3086.3488	3086.3488	2800.99531	6323.27903	6323.27903	3634.12679	1508.98877	1508.98877	6072.28065	94.4281313
2822.65766	1141.15307	1427.73718	-1290.91859	-441.207886	-1017.39466	2102.07343	2412.62934	3489.49997	3489.49997	5062.9787	5280.19525	1767.25495	1767.25495	3086.3485	3086.3485	2800.99561	6323.27962	6323.27962	3634.12679	1508.98907	1508.98907	6072.28065	94.4281313
2822.65766	1141.15307	1427.73718	-1290.91859	-441.207886	-1017.39466	2102.07343	2412.62934	3489.49997	3489.49997	5062.9787	5280.19525	1767.25495	1767.25495	3086.3485	3086.3485	2800.99561	6323.27962	6323.27962	3634.12679	1508.98907	1508.98907	6072.28065	94.4281313
2822.65766	1141.15307	1427.73718	-1290.91859	-441.207886	-1017.39466	2102.07343	2412.62934	3489.49997	3489.49997	5062.9787	5280.19525	1767.25495	1767.25495	3086.3485	3086.3485	2800.99561	6323.27962	6323.27962	3634.12679	1508.98907	1508.98907	6072.28065	94.4281313
2822.65766	1141.15307	1427.73718	-1290.91859	-441.207886	-1017.39466	2102.07343	2412.62934	3489.49997	3489.49997	5062.9787	5280.19525	1767.25495	1767.25495	3086.3485	3086.3485	2800.99561	6323.27962	6323.27962	3634.12679	1508.98907	1508.98907	6072.28065	94.4281313
80.602818	2696.34209	3971.23702	-4171.89837	3621.76061	597.76783	1612.8552	1633.02632	2038.61809	2038.61809	2396.28956	1397.40824	2152.17468	2152.17468	1015.76275	1015.76275	1961.17653	4419.63037	4419.63037	2223.60768	3552.2503	3552.2503	3677.21428	34.7573574
80.6028917	2696.34209	3971.23702	-4171.89837	3621.76061	597.76783	1612.8552	1633.02632	2038.61809	2038.61809	2396.28956	1397.40824	2152.17468	2152.17468	1015.76275	1015.76275	1961.17668	4419.63037	4419.63037	2223.60768	3552.25	3552.25	3677.21428	34.7573574
80.6028917	2696.34209	3971.23702	-4171.89837	3621.76061	597.76783	1612.8552	1633.02632	2038.61809	2038.61809	2396.28956	1397.40824	2152.17468	2152.17468	1015.76275	1015.76275	1961.17668	4419.63037	4419.63037	2223.60768	3552.25	3552.25	3677.21428	34.7573574
80.6028917	2696.34209	3971.23702	-4171.89837	3621.76061	597.76783	1612.8552	1633.02632	2038.61809	2038.61809	2396.28956	1397.40824	2152.17468	2152.17468	1015.76275	1015.76275	1961.17668	4419.63037	4419.63037	2223.60768	3552.25	3552.25	3677.21428	34.7573574
80.6028917	2696.34209	3971.23702	-4171.89837	3621.76061	597.76783	1612.8552	1633.02632	2038.61809	2038.61809	2396.28956	1397.40824	2152.17468	2152.17468	1015.76275	1015.76275	1961.17668	4419.63037	4419.63037	2223.60768	3552.25	3552.25	3677.21428	34.7573574
80.6028917	2696.34209	3971.23702	-4171.89837	3621.76061	597.76783	1612.8552	1633.02632	2038.61809	2038.61809	2396.28956	1397.40824	2152.17468	2152.17468	1015.76275	1015.76275	1961.17668	4419.63037	4419.63037	2223.60768	3552.25	3552.25	3677.21428	34.7573574
80.602818	2696.34209	3971.23702	-4171.89837	3621.76061	597.76783	1612.8552	1633.02632	2038.61809	2038.61809	2396.28956	1397.40824	2152.17468	2152.17468	1015.76275	1015.76275	1961.17653	4419.63037	4419.63037	2223.60768	3552.2503	3552.2503	3677.21428	34.7573574
80.602818	2696.34209	3971.23702	-4171.89837	3621.76061	597.76783	1612.8552	1633.02632	2038.61809	2038.61809	2396.28956	1397.40824	2152.17468	2152.17468	1015.76275	1015.76275	1961.17653	4419.63037	4419.63037	2223.60768	3552.2503	3552.2503	3677.21428	34.7573574
80.6028917	2696.34209	3971.23702	-4171.89837	3621.76061	597.76783	1612.8552	1633.02632	2038.61809	2038.61809	2396.28956	1397.40824	2152.17468	2152.17468	1015.76275	1015.76275	1961.17668	4419.63037	4419.63037	2223.60768	3552.25	3552.25	3677.21428	34.7573574
80.602818	2696.34209	3971.23702	-4171.89837	3621.76061	597.76783	1612.8552	1633.02632	2038.61809	2038.61809	2396.28956	1397.40824	2152.17468	2152.17468	1015.76275	1015.76275	1961.17653	4419.63037	4419.63037	2223.60768	3552.2503	3552.2503	3677.21428	34.7573574
1721.19815	380.723905	3089.63321	-4259.90522	4497.47682	2644.80114	3601.17793	3588.98935	3443.95182	3443.95182	3225.62886	3634.7635	1911.45176	1911.45176	2015.09254	2015.09254	2488.51366	3802.72587	3802.72587	1127.91847	2106.307	2106.307	2116.27326	45.7935501
1721.19815	380.723979	3089.63321	-4259.90522	4497.47682	2644.80233	3601.17674	3588.98905	3443.95211	3443.95211	3225.62856	3634.7632	1911.45176	1911.45176	2015.09224	2015.09224	2488.51395	3802.72616	3802.72616	1127.91877	2106.30685	2106.30685	2116.27296	45.7935501
1721.19815	380.723979	3089.63321	-4259.90522	4497.47682	2644.80233	3601.17674	3588.98905	3443.95211	3443.95211	3225.62856	3634.7632	1911.45176	1911.45176	2015.09224	2015.09224	2488.51395	3802.72616	3802.72616	1127.91877	2106.30685	2106.30685	2116.27296	45.7935501
1721.19815	380.723868	3089.63292	-4259.90462	4497.47682	2644.80233	3601.17793	3588.98935	3443.95182	3443.95182	3225.62886	3634.7635	1911.45176	1911.45176	2015.09224	2015.09224	2488.51395	3802.72616	3802.72616	1127.91862	2106.307	2106.307	2116.27311	45.7935501
1721.19815	380.723979	3089.63321	-4259.90522	4497.47682	2644.80233	3601.17674	3588.98905	3443.95211	3443.95211	3225.62856	3634.7632	1911.45176	1911.45176	2015.09224	2015.09224	2488.51395	3802.72616	3802.72616	1127.91877	2106.30685	2106.30685	2116.27296	45.7935501
1721.19815	380.723979	3089.63292	-4259.90522	4497.47682	2644.80233	3601.17674	3588.98935	3443.95182	3443.95182	3225.62856	3634.7632	1911.45176	1911.45176	2015.0921	2015.0921	2488.51395	3802.72616	3802.72616	1127.91877	2106.307	2106.307	2116.27296	45.7935501
1721.19815	380.723868	3089.63292	-4259.90462	4497.47682	2644.80233	3601.17793	3588.98935	3443.95182	3443.95182	3225.62886	3634.7635	1911.45176	1911.45176	2015.09224	2015.09224	2488.51395	3802.72616	3802.72616	1127.91862	2106.307	2106.307	2116.27311	45.7935501
1721.19815	380.723831	3089.63292	-4259.90522	4497.47682	2644.80233	3601.17793	3588.98935	3443.95182	3443.95182	3225.62886	3634.7635	1911.45176	1911.45176	2015.09239	2015.09239	2488.51395	3802.72616	3802.72616	1127.91847	2106.307	2106.307	2116.27326	45.7935501
1721.19815	380.724053	3089.63321	-4259.90522	4497.47682	2644.80233	3601.17674	3588.98905	3443.95211	3443.95211	3225.62856	3634.7632	1911.45176	1911.45176	2015.09224	2015.09224	2488.51395	3802.72616	3802.72616	1127.91877	2106.30685	2106.30685	2116.27296	45.7935501
