M1	M2	M3	At	Ab	Atau	mu	mA	meL	mmuL	mtauL	meR	mmuR	mtauR	mqL1	mqL2	mqL3	muR	mcR	mtR	mdR	msR	mbR	tanb
3344.6908	1548.37436	1293.50663	2269.94872	-1439.96656	349.755287	944.756269	1608.7133	2013.29868	2013.29868	3021.09502	1380.42379	2674.01766	2674.01766	2801.5972	2801.5972	2154.31182	1084.66377	1084.66377	2294.40664	3925.62543	3925.62543	2779.60823	21.4554341
4392.09667	1113.55224	1709.92131	595.737696	-2933.17497	469.447374	-2404.96933	1043.08698	2478.4133	2478.4133	3506.83876	1458.7161	2137.27987	2137.27987	2412.15402	2412.15402	2150.52362	1496.64388	1496.64388	1519.28371	3268.67946	3268.67946	1232.50089	17.6025009
820.486923	2422.81245	1693.2474	-1708.1207	-5043.39993	-3474.78926	-165.585279	1416.9923	1391.99803	1391.99803	1670.23537	2367.9554	2619.78787	2619.78787	1195.43065	1195.43065	405.888896	2301.01088	2301.01088	2131.1688	1192.44312	1192.44312	575.071859	20.9802651
2470.46632	1858.49036	1966.58777	2316.22458	-1585.22785	62.584877	1101.74894	1260.24408	2858.33957	2858.33957	1257.27321	1787.19676	2345.97662	2345.97662	1785.47622	1785.47622	2146.12349	1686.10102	1686.10102	2376.8477	2740.27546	2740.27546	3418.16241	30.2739981
3373.80505	1679.62689	2075.35507	2561.43928	-2343.27674	2537.09078	617.074966	348.020234	2274.52591	2274.52591	1139.39129	3051.43046	2831.14959	2831.14959	1989.65216	1989.65216	1027.93209	3014.08038	3014.08038	1088.75904	3424.59877	3424.59877	3374.7191	26.475678
1238.17471	2294.12915	1318.57334	-3268.15486	2571.64836	-1345.9444	586.792231	2792.51755	1319.07594	1319.07594	2445.89912	1036.32813	2406.37192	2406.37192	2719.03266	2719.03266	925.768957	2187.12709	2187.12709	2457.37939	2824.25385	2824.25385	2197.77018	21.1996508
2936.62805	3140.46853	2529.15155	-112.093687	-2898.16499	-1114.4793	910.773277	1928.91255	3820.98077	3820.98077	1823.15144	2028.16206	2658.36592	2658.36592	1653.76962	1653.76962	2753.22461	2580.47723	2580.47723	2633.26396	2734.28462	2734.28462	3417.29852	28.2544283
2752.60059	2466.11827	2105.6579	2958.76026	-5430.20636	-3189.0732	-394.771695	2005.71578	2604.00484	2604.00484	3123.40944	1814.67928	2343.24939	2343.24939	2449.00991	2449.00991	2181.01144	2278.00786	2278.00786	1888.36302	2981.3784	2981.3784	1439.27528	22.5130122
1395.45402	1520.88992	775.123325	-2303.617	196.117163	-1665.17913	863.887072	2468.21927	1353.72166	1353.72166	2057.664	1916.79867	2269.85641	2269.85641	1746.87014	1746.87014	1909.41699	1417.19824	1417.19824	1931.77859	1802.4496	1802.4496	1320.33592	23.6469569
3702.88214	2522.2055	3774.08339	369.436741	-2827.19254	1391.64448	-857.741833	1573.70675	4130.33098	4130.33098	3670.99684	2441.32168	2417.63504	2417.63504	2691.05816	2691.05816	2170.19221	2570.48943	2570.48943	1581.66303	3472.50431	3472.50431	2599.23488	33.7189263
950.241372	2565.52829	2555.18909	-5853.85323	3221.19355	-506.296754	684.703588	3513.87524	1439.92482	1439.92482	2485.81785	1889.49893	2553.29787	2553.29787	2562.22026	2562.22026	1691.42698	1420.02859	1420.02859	2765.01216	2587.7108	2587.7108	1649.20014	39.0324973
949.663973	2802.69328	1983.4716	-2680.15802	2516.09325	-1916.00144	1385.99873	3663.43459	1842.42158	1842.42158	3023.53031	1529.37772	2257.86483	2257.86483	2187.29866	2187.29866	2264.94158	2338.10059	2338.10059	3115.47131	2740.67997	2740.67997	2151.41509	33.7304868
1810.79592	2131.767	1534.27838	-1773.54217	7.79747963	992.584229	730.346441	1958.01603	2871.99003	2871.99003	1096.58742	2115.36349	2311.88056	2311.88056	2521.61763	2521.61763	1126.44857	3461.98544	3461.98544	1851.38204	3161.54788	3161.54788	3727.22584	31.4124837
3042.60513	1887.42803	1776.87704	875.694752	-5669.66534	122.298002	-1177.91951	1050.94412	4323.74819	4323.74819	1810.25953	1702.52783	1757.03614	1757.03614	1384.28679	1384.28679	3306.20097	2459.7179	2459.7179	2214.23284	2103.72581	2103.72581	1892.51693	31.4637728
2321.65785	2474.85317	1070.6389	-3158.22959	3687.61182	-2348.50764	1024.4453	3373.02673	1241.22782	1241.22782	3275.80711	2083.81794	2654.62832	2654.62832	2412.13676	2412.13676	2031.91574	1681.93501	1681.93501	2766.75587	2767.12467	2767.12467	2326.41881	22.4662104
2664.03104	2084.89411	1996.4529	2419.69824	4842.15617	323.799849	995.699167	3270.06351	1459.29321	1459.29321	3432.20557	2224.51553	2704.5431	2704.5431	2618.75404	2618.75404	1848.5958	1796.94262	1796.94262	2521.47497	3234.86754	3234.86754	2215.44783	28.3218222
2564.40181	2578.37121	1738.69582	-4695.74213	4821.36965	-1146.18361	1370.11409	3456.89181	1452.28535	1452.28535	3266.38668	1907.00059	3137.87835	3137.87835	2621.07603	2621.07603	2879.03094	1977.30255	1977.30255	3236.23359	3130.95753	3130.95753	2790.51804	35.964884
2240.98749	1934.66972	1780.9774	-2710.75904	3460.10923	-1367.95044	1415.40766	2753.08121	1479.76993	1479.76993	3515.18257	2456.42817	2493.88329	2493.88329	1864.93041	1864.93041	1480.09698	1672.50898	1672.50898	3192.27513	2715.12806	2715.12806	1916.28058	34.49257
1842.78242	2523.83429	1708.99075	321.362019	-1934.80015	367.367268	1061.66124	1593.1458	1992.46127	1992.46127	1437.89035	1498.93459	2536.41344	2536.41344	1966.20628	1966.20628	2251.12988	1982.11529	1982.11529	2212.53619	2243.82462	2243.82462	2499.33746	17.2342885
2978.48521	2075.89913	1714.90754	1674.5615	-3724.78127	-197.094083	688.148737	2010.70997	2875.09742	2875.09742	2580.818	1396.42677	3094.99002	3094.99002	2601.38575	2601.38575	2691.11038	1547.24552	1547.24552	2447.59429	2463.12167	2463.12167	1814.63856	20.5141588
2670.45797	2330.42387	1310.33928	-4153.61881	7215.44862	2136.34372	1035.35295	3509.76381	2169.12726	2169.12726	3595.09556	2079.14047	2519.89576	2519.89576	3056.3562	3056.3562	2739.89751	2554.3078	2554.3078	2853.97795	4016.79254	4016.79254	3645.05283	39.2953002
3013.10113	2334.89849	2708.78139	521.714687	2642.52186	-1138.37004	-562.07478	2326.64879	1903.76736	1903.76736	3009.77747	2734.19227	2284.65768	2284.65768	2142.50184	2142.50184	1281.8781	1782.49864	1782.49864	2478.57203	3031.48378	3031.48378	2992.43101	27.8163692
3114.1386	2845.48307	2550.52181	266.267061	-5721.41171	667.600632	1218.53828	1599.94492	4426.45059	4426.45059	2826.58941	2116.12116	2257.29068	2257.29068	1895.39655	1895.39655	3764.3508	3532.0611	3532.0611	2476.0447	3385.34094	3385.34094	2613.29073	38.8060039
966.262133	2467.664	2574.23205	-4673.28072	-3135.7497	-741.111636	73.0955601	2120.95397	2539.15351	2539.15351	1063.14953	1587.29141	1759.72737	1759.72737	1038.12066	1038.12066	2502.32506	2750.01719	2750.01719	1948.82161	1987.54821	1987.54821	2301.48	26.6017072
1242.88972	2828.43696	2661.12517	-5086.41064	5272.55177	-2909.91127	-1644.80984	4015.70619	2283.95814	2283.95814	2608.60692	1920.06096	1250.94292	1250.94292	1386.37186	1386.37186	2916.10014	2451.29413	2451.29413	3138.81275	2127.44329	2127.44329	2361.47021	42.8886577
2219.19118	1933.13845	2141.96486	-3971.68159	3270.93363	3150.97451	2160.54559	2463.76781	2219.68228	2219.68228	2870.07432	2411.82225	2855.68832	2855.68832	2887.71671	2887.71671	2328.07267	2186.84975	2186.84975	2639.36958	3605.71799	3605.71799	3086.94419	45.1676512
3497.70216	4195.2962	3320.07064	6722.61596	5880.98645	1922.49775	2003.89147	3478.70257	2850.85168	2850.85168	3702.05248	3103.99207	3082.00488	3082.00488	2914.47622	2914.47622	2956.56115	2949.05349	2949.05349	3723.27462	3885.71143	3885.71143	3515.86117	38.6936042
