M1	M2	M3	At	Ab	Atau	mu	mA	meL	mmuL	mtauL	meR	mmuR	mtauR	mqL1	mqL2	mqL3	muR	mcR	mtR	mdR	msR	mbR	tanb
3950.4117	2923.16524	2870.97862	7397.95566	5668.76888	6782.33385	-1786.70108	3595.00203	2879.72252	2879.72252	4315.95079	3414.39795	4838.64954	4838.64954	3091.29814	3091.29814	3933.1865	1744.38012	1744.38012	2054.5895	3802.78281	3802.78281	1827.38884	47.0324359
3999.90723	2968.1947	2916.74864	7566.22434	5825.32287	6955.36137	-1598.48034	3636.26202	2931.93598	2931.93598	4350.36815	3463.45209	4864.08225	4864.08225	3137.49332	3137.49332	3977.68075	1793.63829	1793.63829	2102.72311	3856.33783	3856.33783	1871.95804	47.5924258
4031.21601	3003.90759	2959.25372	7685.43124	5950.0134	7114.69769	-1405.32672	3666.78274	2978.84074	2978.84074	4372.09688	3512.87239	4881.93324	4881.93324	3179.24751	3179.24751	4008.4859	1835.28892	1835.28892	2142.28528	3906.60637	3906.60637	1917.05226	48.0232838
4053.26546	3039.16346	3003.26646	7786.75318	6021.04425	7261.2071	-1217.08572	3684.77092	3014.70528	3014.70528	4377.16159	3556.79839	4886.55922	4886.55922	3218.81012	3218.81012	4029.80334	1876.41968	1876.41968	2176.36835	3951.00533	3951.00533	1958.64108	48.30387
4069.11074	3075.60687	3041.27862	7823.35758	6041.25381	7394.80615	-1047.02532	3696.73462	3042.25167	3042.25167	4380.57376	3597.39866	4879.36548	4879.36548	3255.76042	3255.76042	4037.18975	1916.96301	1916.96301	2211.27621	3993.36347	3993.36347	1993.62654	48.4715931
4073.83556	3109.53062	3079.9502	7833.56786	6027.35877	7512.5587	-883.278847	3707.67216	3059.08387	3059.08387	4383.75049	3631.73164	4854.79194	4854.79194	3285.825	3285.825	4035.95853	1950.92689	1950.92689	2242.08652	4017.96238	4017.96238	2028.78622	48.4999411
4069.26593	3141.17929	3110.00121	7774.63913	5970.33024	7598.7339	-727.029443	3719.41428	3074.95276	3074.95276	4377.15421	3663.81432	4821.52082	4821.52082	3311.13143	3311.13143	4032.57439	1979.47923	1979.47923	2271.87111	4042.00131	4042.00131	2060.42885	48.4274083
4053.18137	3164.53607	3139.42467	7676.77188	5882.70307	7680.40895	-576.00379	3730.19928	3089.13105	3089.13105	4360.33676	3695.34763	4777.56207	4777.56207	3333.1794	3333.1794	4024.52414	2005.60396	2005.60396	2296.27544	4062.30587	4062.30587	2090.88318	48.2210835
4041.42332	3181.16883	3163.02516	7539.43801	5785.66551	7750.4921	-457.225442	3729.51124	3095.49218	3095.49218	4342.70499	3722.43051	4729.13814	4729.13814	3356.20102	3356.20102	4013.32696	2032.19633	2032.19633	2319.80571	4071.37048	4071.37048	2115.69689	47.9772288
4026.30384	3194.94291	3181.32904	7378.61872	5660.4445	7817.13128	-349.299312	3717.50565	3102.45401	3102.45401	4324.99356	3738.0253	4684.75778	4684.75778	3374.5465	3374.5465	3996.97893	2057.29165	2057.29165	2338.19633	4070.2443	4070.2443	2137.16038	47.6564715
4003.12261	3202.47477	3198.85311	7201.3998	5519.8276	7831.82144	-246.348381	3700.03173	3100.82242	3100.82242	4293.46291	3743.74028	4629.29825	4629.29825	3391.04618	3391.04618	3982.91806	2076.4454	2076.4454	2349.16692	4057.02372	4057.02372	2156.78487	47.2416162
