M1	M2	M3	At	Ab	Atau	mu	mA	meL	mmuL	mtauL	meR	mmuR	mtauR	mqL1	mqL2	mqL3	muR	mcR	mtR	mdR	msR	mbR	tanb
2957.844	69.5990421	1632.84989	-3523.55838	-7915.71707	2998.62981	-895.867348	682.688937	1842.32304	1842.32304	1648.08178	1633.61833	1215.00204	1215.00204	1148.70248	1148.70248	1125.58483	2233.79375	2233.79375	2140.00814	2186.75357	2186.75357	3586.22745	17.1596244
1195.18083	759.890403	1680.18658	-3356.71425	-7163.37621	-2762.02798	-168.492198	1242.74958	1813.93547	1813.93547	1450.56923	1555.42308	1428.28316	1428.28316	528.22803	528.22803	1187.85469	2491.07035	2491.07035	648.809409	832.362993	832.362993	1719.13019	20.5083544
148.46597	1782.87748	981.61322	-3812.204	-5792.87887	-3233.67894	-4707.45564	495.550286	571.357931	571.357931	1063.96326	722.351198	2367.14639	2367.14639	774.290492	774.290492	1462.53662	2738.15056	2738.15056	1565.92086	1852.99135	1852.99135	1918.8383	18.662715
236.210631	1339.58497	189.248601	-3948.19081	-3422.5744	-2724.18439	-4244.09986	1012.84109	775.041746	775.041746	1460.85531	625.535274	1675.75327	1675.75327	1003.89037	1003.89037	1944.40555	1089.29912	1089.29912	1743.55016	940.290973	940.290973	988.242319	15.0623742
1493.48131	410.974184	1249.29429	-2306.50008	-9017.58522	2323.56906	-1184.11362	863.479628	1258.77697	1258.77697	1691.09123	2278.93636	2091.73763	2091.73763	1447.76514	1447.76514	1516.88117	1437.03044	1437.03044	3342.1909	948.641944	948.641944	1261.00315	15.2881684
1584.81113	392.388983	2219.76785	-5788.18947	-1562.38735	308.139324	146.44146	2068.32729	998.367457	998.367457	1731.48069	803.193494	1143.28808	1143.28808	1201.02187	1201.02187	1669.7962	1816.67436	1816.67436	1374.04555	960.089538	960.089538	3145.93951	11.0605701
1905.02203	692.66471	936.318367	-5918.1264	-2388.72051	-3196.24722	-3161.03876	1640.59388	1942.33538	1942.33538	1002.84046	1749.03546	1600.4077	1600.4077	1514.08033	1514.08033	2263.98963	2404.71422	2404.71422	2001.75719	1212.68226	1212.68226	2039.3433	19.9926046
1595.81344	933.680904	1858.20254	-4068.99571	-4136.04796	-689.03625	-5017.59529	1126.81221	1596.45869	1596.45869	2053.54446	2576.34751	1689.99853	1689.99853	910.960086	910.960086	1405.42765	1529.07737	1529.07737	1674.17715	2045.30243	2045.30243	1434.18947	14.2911522
2052.3429	290.52137	1740.52022	-7667.05334	-958.79674	-5640.11037	-1522.91536	868.805449	1981.39981	1981.39981	2239.48041	1095.48477	1339.06968	1339.06968	186.267155	186.267155	1917.78441	1307.03642	1307.03642	1972.30245	607.429076	607.429076	1981.05963	3.05955893
1958.49223	257.185753	1685.83504	-6764.72545	-3427.33085	-2748.06261	-5572.01236	855.753264	1320.50941	1320.50941	1352.75702	1757.36806	1714.53047	1714.53047	1895.66327	1895.66327	1714.59184	1487.93274	1487.93274	2918.68944	1187.58325	1187.58325	1718.42003	8.24158712
1989.42498	350.560849	1210.47976	-6220.70134	-5278.41151	-5550.69208	-1806.7503	1632.54068	738.920517	738.920517	535.217451	1315.66628	2217.96499	2217.96499	1596.3451	1596.3451	1519.51001	2164.84338	2164.84338	2300.13652	1603.73534	1603.73534	2651.62655	11.2322966
1695.13332	646.575454	1705.24311	-3314.69893	-1127.41113	-4527.60816	-25.3486633	1430.43845	1771.96826	1771.96826	2036.75504	1946.46554	2565.71387	2565.71387	606.287407	606.287407	1788.81492	1176.62727	1176.62727	2447.25057	955.190349	955.190349	1370.74033	2.06956056
1964.10291	225.278477	1695.32731	36.1442566	-6445.22041	928.196907	-4017.62247	1048.35231	1613.1003	1613.1003	1463.01208	677.196491	1523.47125	1523.47125	1887.4416	1887.4416	1192.32739	1272.11572	1272.11572	1716.65021	867.705603	867.705603	1919.92096	15.0551299
3286.53134	104.136406	1095.9915	-2039.50047	-6691.49846	1770.0696	263.960361	2902.12218	359.149606	359.149606	2213.56103	908.188673	1024.98461	1024.98461	1378.35554	1378.35554	1274.0692	2039.71624	2039.71624	1187.43447	1282.77585	1282.77585	1665.52192	19.996321
2265.26067	481.72671	1441.64787	2430.6047	-5081.29835	-2904.87945	-4760.4394	1468.3851	1619.58505	1619.58505	1653.74881	1440.21824	1916.00324	1916.00324	1099.72697	1099.72697	1673.4686	2098.58882	2098.58882	1363.19225	1699.00634	1699.00634	1908.04917	18.1322467
2753.06912	1520.72632	2018.47019	-1683.37107	-5683.88343	-2665.00652	927.808285	1360.81464	2693.25476	2693.25476	1411.4604	1369.91052	1082.62657	1082.62657	1196.55484	1196.55484	978.62945	1434.89359	1434.89359	1213.37679	2161.67565	2161.67565	2276.71542	9.40810907
2654.61209	131.241526	1704.03816	-3911.28421	-9027.1391	-2638.78822	1330.899	2209.13391	1494.70486	1494.70486	909.924927	1927.49324	1763.83216	1763.83216	1807.37785	1807.37785	1043.85667	2379.76346	2379.76346	1983.93305	1365.02874	1365.02874	2042.00179	25.0943246
760.305528	1417.72903	1802.06353	-3794.48533	-4713.84704	-3429.64172	578.070879	1959.99134	1347.66045	1347.66045	847.674323	1001.27909	2551.09124	2551.09124	1050.92044	1050.92044	1230.70422	3133.63445	3133.63445	1360.33195	1611.76479	1611.76479	1854.61777	24.9039801
1924.27359	480.673739	2154.5154	995.545387	-7068.39085	1501.4267	-4681.70106	994.68119	1070.22946	1070.22946	2083.98744	1374.25724	1346.5738	1346.5738	1538.91646	1538.91646	1859.11024	1444.24129	1444.24129	2409.15107	1647.3396	1647.3396	2609.28405	12.2310188
1828.76817	1490.97242	2577.14472	-1374.69292	-6947.84552	1079.13852	-395.999551	1542.47674	1242.97447	1242.97447	2491.19442	1115.21857	646.350705	646.350705	808.972722	808.972722	1527.26801	1571.23311	1571.23311	1742.50291	1164.09303	1164.09303	2089.62955	10.7322928
