M1	M2	M3	At	Ab	Atau	mu	mA	meL	mmuL	mtauL	meR	mmuR	mtauR	mqL1	mqL2	mqL3	muR	mcR	mtR	mdR	msR	mbR	tanb
2493.61583	2527.13847	2514.39261	702.744722	-279.757977	-295.506716	150.908232	2542.8383	2485.70411	2485.70411	2544.22205	2488.16949	2409.18264	2409.18264	2478.55787	2478.55787	2467.7593	2487.94113	2487.94113	2480.86644	2472.4254	2472.4254	2469.87048	30.3573308
2496.10083	2529.58851	2512.00999	693.120956	-270.123482	-306.25701	140.453577	2545.51965	2488.11417	2488.11417	2546.80132	2490.90218	2406.54216	2406.54216	2476.11167	2476.11167	2470.4405	2490.44029	2490.44029	2483.35837	2469.85219	2469.85219	2472.4319	30.3296241
2496.71172	2530.95131	2512.67251	684.530735	-261.336565	-309.869051	132.61795	2547.52152	2490.55476	2490.55476	2549.06253	2492.00062	2404.08209	2404.08209	2475.5446	2475.5446	2469.75453	2492.09238	2492.09238	2485.67298	2471.44586	2471.44586	2473.88852	30.303461
2498.25745	2530.38542	2511.62216	679.847002	-253.558159	-312.536955	124.152899	2549.77653	2490.30634	2490.30634	2551.06941	2491.41452	2401.95026	2401.95026	2474.16513	2474.16513	2468.77838	2490.88669	2490.88669	2486.02172	2471.34717	2471.34717	2475.90558	30.3050323
2499.14022	2530.94718	2509.94838	679.829121	-244.846344	-310.60338	114.90345	2552.1174	2489.15272	2489.15272	2551.31872	2490.57291	2399.68344	2399.68344	2474.16114	2474.16114	2469.23156	2491.0646	2491.0646	2487.38069	2470.2173	2470.2173	2478.11782	30.3129939
2498.99757	2531.4402	2509.57323	680.43232	-241.086483	-307.458043	105.066299	2554.40162	2489.19122	2489.19122	2550.79561	2489.56607	2398.52171	2398.52171	2473.43268	2473.43268	2469.34398	2491.59818	2491.59818	2489.04119	2470.61074	2470.61074	2479.47782	30.3093968
2499.5847	2532.1601	2509.87359	679.295063	-238.342881	-302.368999	95.7286358	2556.68378	2489.23415	2489.23415	2550.44333	2489.67745	2397.63171	2397.63171	2473.42058	2473.42058	2470.1161	2491.21035	2491.21035	2490.92268	2470.27366	2470.27366	2480.53673	30.3091531
2500.43502	2532.43715	2510.71225	675.996542	-235.07297	-301.808119	90.8076763	2558.56704	2489.18517	2489.18517	2550.79148	2490.45725	2397.10078	2397.10078	2473.40554	2473.40554	2470.57903	2491.33323	2491.33323	2492.91939	2470.61177	2470.61177	2481.10498	30.303162
2501.45277	2532.77291	2511.65476	670.682192	-229.359269	-300.608873	89.0767574	2560.64001	2488.73582	2488.73582	2550.46162	2491.53652	2397.53759	2397.53759	2473.70368	2473.70368	2471.42462	2490.96487	2490.96487	2494.86682	2470.35774	2470.35774	2481.66291	30.3055059
2502.77013	2532.52714	2512.30799	667.254925	-225.036144	-301.365256	88.1516933	2562.76698	2488.90297	2488.90297	2550.58023	2491.96979	2397.50012	2397.50012	2474.40883	2474.40883	2471.58011	2490.90645	2490.90645	2496.95174	2470.51898	2470.51898	2481.62234	30.3085896
2504.24284	2531.70279	2513.29623	665.919781	-221.925378	-303.934813	87.3088837	2564.84939	2489.07586	2489.07586	2550.45601	2491.88437	2397.78971	2397.78971	2475.3124	2475.3124	2471.33124	2491.20784	2491.20784	2498.3082	2470.17747	2470.17747	2480.8834	30.3050893
