M1	M2	M3	At	Ab	Atau	mu	mA	meL	mmuL	mtauL	meR	mmuR	mtauR	mqL1	mqL2	mqL3	muR	mcR	mtR	mdR	msR	mbR	tanb
666.031289	1824.3558	2650.95179	-616.284609	-3490.95702	-771.805048	-2065.98341	1359.73493	3992.80318	3992.80318	1164.28481	2574.29549	2086.62866	2086.62866	2158.74499	2158.74499	1593.81363	2353.91976	2353.91976	2358.02706	2197.81473	2197.81473	2344.83111	39.3544991
666.031289	1824.3558	2650.95179	-616.284609	-3490.95702	-771.805048	-2065.98341	1359.73493	3992.80318	3992.80318	1164.28481	2574.29549	2086.62866	2086.62866	2158.74499	2158.74499	1593.81363	2353.91976	2353.91976	2358.02706	2197.81473	2197.81473	2344.83111	39.3544991
666.031289	1824.3558	2650.95179	-616.284609	-3490.95702	-771.805048	-2065.98341	1359.73493	3992.80318	3992.80318	1164.28481	2574.29549	2086.62866	2086.62866	2158.74499	2158.74499	1593.81363	2353.91976	2353.91976	2358.02706	2197.81473	2197.81473	2344.83111	39.3544991
666.031289	1824.3558	2650.95179	-616.284609	-3490.95702	-771.805048	-2065.98341	1359.73493	3992.80318	3992.80318	1164.28481	2574.29549	2086.62866	2086.62866	2158.74499	2158.74499	1593.81363	2353.91976	2353.91976	2358.02706	2197.81473	2197.81473	2344.83111	39.3544991
666.031289	1824.3558	2650.95179	-616.284609	-3490.95702	-771.805048	-2065.98341	1359.73493	3992.80318	3992.80318	1164.28481	2574.29549	2086.62866	2086.62866	2158.74499	2158.74499	1593.81363	2353.91976	2353.91976	2358.02706	2197.81473	2197.81473	2344.83111	39.3544991
666.031289	1824.3558	2650.95179	-616.284609	-3490.95702	-771.805048	-2065.98341	1359.73493	3992.80318	3992.80318	1164.28481	2574.29549	2086.62866	2086.62866	2158.74499	2158.74499	1593.81363	2353.91976	2353.91976	2358.02706	2197.81473	2197.81473	2344.83111	39.3544991
666.031289	1824.3558	2650.95179	-616.284609	-3490.95702	-771.805048	-2065.98341	1359.73493	3992.80318	3992.80318	1164.28481	2574.29549	2086.62866	2086.62866	2158.74499	2158.74499	1593.81363	2353.91976	2353.91976	2358.02706	2197.81473	2197.81473	2344.83111	39.3544991
666.031289	1824.3558	2650.95179	-616.284609	-3490.95702	-771.805048	-2065.98341	1359.73493	3992.80318	3992.80318	1164.28481	2574.29549	2086.62866	2086.62866	2158.74499	2158.74499	1593.81363	2353.91976	2353.91976	2358.02706	2197.81473	2197.81473	2344.83111	39.3544991
666.031289	1824.3558	2650.95179	-616.284609	-3490.95702	-771.805048	-2065.98341	1359.73493	3992.80318	3992.80318	1164.28481	2574.29549	2086.62866	2086.62866	2158.74499	2158.74499	1593.81363	2353.91976	2353.91976	2358.02706	2197.81473	2197.81473	2344.83111	39.3544991
666.031289	1824.3558	2650.95179	-616.284609	-3490.95702	-771.805048	-2065.98341	1359.73493	3992.80318	3992.80318	1164.28481	2574.29549	2086.62866	2086.62866	2158.74499	2158.74499	1593.81363	2353.91976	2353.91976	2358.02706	2197.81473	2197.81473	2344.83111	39.3544991
1049.43564	1872.24895	1859.12382	594.631433	-626.567602	-397.717357	-784.668922	2514.80464	4155.88967	4155.88967	2086.34542	3033.01505	1959.42412	1959.42412	2520.66036	2520.66036	2131.38477	2440.79842	2440.79842	3126.81512	3033.66444	3033.66444	2596.48803	37.9644945
1049.43564	1872.24895	1859.12382	594.631433	-626.567602	-397.717357	-784.668922	2514.80464	4155.88967	4155.88967	2086.34542	3033.01505	1959.42412	1959.42412	2520.66036	2520.66036	2131.38477	2440.79842	2440.79842	3126.81512	3033.66444	3033.66444	2596.48803	37.9644945
1049.43564	1872.24895	1859.12382	594.631433	-626.567602	-397.717357	-784.668922	2514.80464	4155.88967	4155.88967	2086.34542	3033.01505	1959.42412	1959.42412	2520.66036	2520.66036	2131.38477	2440.79842	2440.79842	3126.81512	3033.66444	3033.66444	2596.48803	37.9644945
1049.43564	1872.24895	1859.12382	594.631433	-626.567602	-397.717357	-784.668922	2514.80464	4155.88967	4155.88967	2086.34542	3033.01505	1959.42412	1959.42412	2520.66036	2520.66036	2131.38477	2440.79842	2440.79842	3126.81512	3033.66444	3033.66444	2596.48803	37.9644945
1049.43564	1872.24895	1859.12382	594.631433	-626.567602	-397.717357	-784.668922	2514.80464	4155.88967	4155.88967	2086.34542	3033.01505	1959.42412	1959.42412	2520.66036	2520.66036	2131.38477	2440.79842	2440.79842	3126.81512	3033.66444	3033.66444	2596.48803	37.9644945
1049.43564	1872.24895	1859.12382	594.631433	-626.567602	-397.717357	-784.668922	2514.80464	4155.88967	4155.88967	2086.34542	3033.01505	1959.42412	1959.42412	2520.66036	2520.66036	2131.38477	2440.79842	2440.79842	3126.81512	3033.66444	3033.66444	2596.48803	37.9644945
1049.43564	1872.24895	1859.12382	594.631433	-626.567602	-397.717357	-784.668922	2514.80464	4155.88967	4155.88967	2086.34542	3033.01505	1959.42412	1959.42412	2520.66036	2520.66036	2131.38477	2440.79842	2440.79842	3126.81512	3033.66444	3033.66444	2596.48803	37.9644945
1049.43564	1872.24895	1859.12382	594.631433	-626.567602	-397.717357	-784.668922	2514.80464	4155.88967	4155.88967	2086.34542	3033.01505	1959.42412	1959.42412	2520.66036	2520.66036	2131.38477	2440.79842	2440.79842	3126.81512	3033.66444	3033.66444	2596.48803	37.9644945
1049.43564	1872.24895	1859.12382	594.631433	-626.567602	-397.717357	-784.668922	2514.80464	4155.88967	4155.88967	2086.34542	3033.01505	1959.42412	1959.42412	2520.66036	2520.66036	2131.38477	2440.79842	2440.79842	3126.81512	3033.66444	3033.66444	2596.48803	37.9644945
1049.43564	1872.24895	1859.12382	594.631433	-626.567602	-397.717357	-784.668922	2514.80464	4155.88967	4155.88967	2086.34542	3033.01505	1959.42412	1959.42412	2520.66036	2520.66036	2131.38477	2440.79842	2440.79842	3126.81512	3033.66444	3033.66444	2596.48803	37.9644945
1258.88894	1434.02602	1100.79561	-4624.29166	-2268.77511	-1706.46369	-2589.97619	1943.03906	2429.32184	2429.32184	1570.34901	1970.80172	1977.00588	1977.00588	1946.1224	1946.1224	1792.48791	1627.52716	1627.52716	2453.91087	1982.29128	1982.29128	2167.12377	20.0047355
1258.88894	1434.02602	1100.79561	-4624.29166	-2268.77511	-1706.46369	-2589.97619	1943.03906	2429.32184	2429.32184	1570.34901	1970.80172	1977.00588	1977.00588	1946.1224	1946.1224	1792.48791	1627.52716	1627.52716	2453.91087	1982.29128	1982.29128	2167.12377	20.0047355
1258.88894	1434.02602	1100.79561	-4624.29166	-2268.77511	-1706.46369	-2589.97619	1943.03906	2429.32184	2429.32184	1570.34901	1970.80172	1977.00588	1977.00588	1946.1224	1946.1224	1792.48791	1627.52716	1627.52716	2453.91087	1982.29128	1982.29128	2167.12377	20.0047355
1258.88894	1434.02602	1100.79561	-4624.29166	-2268.77511	-1706.46369	-2589.97619	1943.03906	2429.32184	2429.32184	1570.34901	1970.80172	1977.00588	1977.00588	1946.1224	1946.1224	1792.48791	1627.52716	1627.52716	2453.91087	1982.29128	1982.29128	2167.12377	20.0047355
1258.88894	1434.02602	1100.79561	-4624.29166	-2268.77511	-1706.46369	-2589.97619	1943.03906	2429.32184	2429.32184	1570.34901	1970.80172	1977.00588	1977.00588	1946.1224	1946.1224	1792.48791	1627.52716	1627.52716	2453.91087	1982.29128	1982.29128	2167.12377	20.0047355
1258.88894	1434.02602	1100.79561	-4624.29166	-2268.77511	-1706.46369	-2589.97619	1943.03906	2429.32184	2429.32184	1570.34901	1970.80172	1977.00588	1977.00588	1946.1224	1946.1224	1792.48791	1627.52716	1627.52716	2453.91087	1982.29128	1982.29128	2167.12377	20.0047355
1258.88894	1434.02602	1100.79561	-4624.29166	-2268.77511	-1706.46369	-2589.97619	1943.03906	2429.32184	2429.32184	1570.34901	1970.80172	1977.00588	1977.00588	1946.1224	1946.1224	1792.48791	1627.52716	1627.52716	2453.91087	1982.29128	1982.29128	2167.12377	20.0047355
