tanb	M1	M2	M3	mu	mA	msq2_11	msq2_22	msq2_23	msq2_33	msu2_11	msu2_22	msu2_33	msd2_11	msd2_22	msd2_23	msd2_33	msl2_11	msl2_22	msl2_33	mse2_11	mse2_22	mse2_33	tu_11	tu_12	tu_13	tu_21	tu_22	tu_23	tu_31	tu_32	tu_33	td_11	td_12	td_13	td_21	td_22	td_23	td_31	td_32	td_33	te_33	W	h0	H0	A0	H+	g	chi01	chi02	chi03	chi04	chipm1	chipm2	e1	e2	e3	e4	e5	e6	nu1	nu2	nu3	d1	d2	d3	d4	d5	d6	u1	u2	u3	u4	u5	u6
4.44381612	131.997599	4555.87899	4182.04186	1970.42095	3610.87908	1275160.13	2643037.84	611.585347	3847249.78	6292788.12	5190738.55	1884655.46	6785229.0	5687699.66	602.078146	2893617.2	5026059.72	628118.021	4941099.41	9914862.29	7121061.23	1132187.44	-8563.76149	-13.484708	-83.886274	41.7086121	4287.85172	-75.3262178	-97.1681157	-3.60817872	2358.87274	3874.26057	-59.085748	39.0113442	7.63388113	8120.27865	-50.5978505	-38.0466001	-76.5061265	-1670.31778	1805.87802	86.0509123	124.932765	3750.41353	3610.90771	3751.98007	4035.41329	130.361842	1967.64189	-1968.72223	4470.61898	1967.47372	4470.78538	625.384992	1085.73504	2171.41873	2209.19493	2670.1666	3150.82043	621.296153	2188.17007	2207.81289	797.018182	1448.32573	1611.9743	1812.49064	2350.80006	2578.46531	593.344057	1249.9955	1408.13058	1807.46965	2261.57487	2529.03203
4.90094476	3895.3746	1605.08215	2178.78479	-1016.1018	4812.36645	885582.987	4909167.3	190.921885	5212505.82	4331915.29	9810782.84	7175644.82	1936074.06	1796958.08	222.600405	1686267.47	6752706.71	5324956.56	2377947.69	9492009.09	6018706.1	3372956.85	2954.82459	9.65700403	-2.52191848	13.7211987	-2640.24119	40.1156078	8.31306589	-58.4758821	7.45423905	-771.180099	74.5774311	-98.6869675	-45.3919299	-4304.34579	19.8047552	17.3953331	-99.172812	-5327.30432	-5311.62347	84.9301858	124.867753	4873.48305	4812.37252	4874.09063	2282.63491	1042.1581	-1047.54075	1640.68374	3854.7365	1044.41416	1640.86839	1595.45228	1890.5869	2326.41474	2460.25568	2615.33305	3087.91213	1569.56107	2324.85027	2613.90615	1113.08648	1453.22534	1497.40577	1504.07118	2318.49531	2359.17968	1086.70992	2184.32972	2309.94446	2380.06779	2703.25857	3194.51653
14.502024	782.01798	876.107761	3755.16608	7285.6498	558.502693	4846954.52	2082385.35	792.389028	4078588.7	6984793.35	4337501.25	7983526.98	2487963.96	9184097.79	118.795472	7675931.62	2902051.15	4495049.92	8994090.0	6713974.07	2729988.13	6909136.01	-5445.7596	-2.80037495	68.4402908	26.3565599	3223.14745	-7.81901974	-98.1991965	31.1173973	1189.10847	2134.84261	6.12503331	-16.5192585	-85.1626049	-4188.46687	-60.3947258	-4.60819268	48.9503182	5865.3331	-1864.87042	85.1784541	125.624796	621.509521	558.50322	625.591136	3712.92736	778.920425	930.66463	-7234.72094	7235.0179	930.832428	7235.69496	1655.4281	1713.78678	2129.35642	2593.91921	2605.4661	2990.5486	1711.77121	2127.64501	3007.25959	1524.44882	1648.69928	1732.22412	2287.13584	2607.65119	3108.05314	1490.68962	1736.8746	2179.15113	2224.85744	2237.89164	2767.68539
24.3839996	1749.61503	3961.02245	2058.28905	210.415364	2419.00137	1927629.45	8423035.8	873.514101	1934885.86	4316036.53	8354922.97	8590493.49	5279064.03	1709230.34	916.080544	9772426.06	1259199.18	5378132.09	9823928.56	2624155.87	824248.518	5439998.07	-7610.07647	-30.6743266	-53.1898584	-6.43086921	-1723.92197	46.8416239	46.6686284	-45.3662772	7987.32947	1246.88651	69.9693656	-8.42822053	-70.5885369	-2616.96231	52.5422018	35.2467661	38.7542117	-515.244819	-6738.69841	88.443686	125.149563	2425.35603	2419.00105	2426.34074	2172.68054	219.919574	-220.472536	1737.67353	3877.99505	220.493186	3878.16033	917.626172	1106.53911	1626.69906	2327.98272	2395.93629	3137.10921	1104.99557	2327.07477	3148.147	1396.38538	1397.54829	1470.43893	2359.61802	2959.26056	3146.1482	1320.75911	1325.3201	2234.49282	2621.10796	2906.966	2990.45043
20.5164312	4567.28514	294.991007	3853.63709	-1918.29567	2609.65082	7176390.58	1570195.87	941.475343	2126034.42	6138374.85	4050910.09	5459233.96	6017371.76	4999350.53	10.2502534	5288637.02	4504190.97	8701773.15	1563103.04	9153063.87	1539677.7	2871289.74	-8294.36968	10.1511463	-38.9991263	-34.2303825	3731.34134	74.7236802	-63.864908	98.0359198	5957.07272	6238.35251	89.4311891	74.2821034	-13.6233341	-7835.61325	70.0686522	60.6896603	-36.0406743	4662.77629	614.689162	85.4144	125.511376	2660.45544	2609.63564	2660.93077	3755.32613	325.982682	-1914.14523	1916.24902	4544.14371	326.147772	1917.4326	1225.9767	1246.97266	1681.88494	2125.90928	2956.96896	3024.51438	1247.97319	2125.11835	2956.3134	1203.83864	1399.40259	2245.76761	2266.24393	2469.59425	2706.94105	1154.77297	1309.80011	2036.60436	2136.60263	2337.48798	2847.25164
43.9672564	3039.56501	460.168029	4560.61696	5614.75754	1779.30908	5966406.27	4362016.37	18.609859	7133639.51	3471488.97	533126.752	3847340.48	9576124.62	3847500.81	504.205048	5398743.87	3939765.8	325975.153	8278198.18	2050824.38	6880808.07	6596149.87	9679.70252	-82.1957082	-85.6372386	-69.8450118	-2806.11873	51.0824561	92.9545641	59.9115968	113.469362	2284.02853	-48.6233771	53.115344	-28.1726718	-6260.78159	-64.1456485	43.7873363	-7.5570941	-4853.28853	1893.01491	85.072621	125.556068	1849.19722	1779.30881	1850.62465	4447.51481	503.472166	3005.08169	-5552.05692	5552.42979	503.639114	5553.12392	587.671409	1439.3572	1993.50956	2495.29575	2629.66966	2862.61984	582.219291	1991.60077	2885.51546	1962.7633	2102.61257	2264.69794	2469.42515	2554.94847	3134.23973	534.247974	1686.6984	1775.16706	2111.06975	2530.62357	2595.89756
50.1888771	532.438898	4501.98388	2613.39172	1417.65136	3712.82126	6663411.01	1816938.33	953.457665	1060476.3	6935463.5	4287530.2	6278869.24	5466430.03	5145086.53	111.881827	8104847.0	5192131.22	6686986.46	1938535.42	8142678.8	6832236.89	3428556.01	-252.749747	37.8321298	-86.0986734	61.9711249	-1479.12119	9.41404744	68.3500553	-69.2945297	797.941157	3239.20252	-23.8434228	-68.8348521	50.3804975	5366.14239	-78.9728382	45.838823	0.858327742	3847.13077	5311.56605	84.9169531	125.495742	3816.38248	3712.82149	3817.7423	2650.86807	532.458453	1422.12872	-1423.20926	4414.1632	1421.99919	4414.32968	1362.81408	1900.0138	2248.19096	2563.37351	2616.17224	2855.93761	1316.76009	2246.30154	2561.71446	1043.63922	1321.89653	2319.86465	2389.24591	2607.29431	2863.46173	1051.56514	1312.35579	2126.66302	2519.56051	2605.42846	2682.32436
21.7396438	84.2090044	4563.86401	4506.12913	-5900.85372	412.854558	4951878.19	1324867.92	238.978254	954756.041	8079981.49	6152468.67	6177754.09	7655840.04	3738444.32	0.138338956	7761736.49	219494.236	7343312.84	9909572.26	2679813.72	7443469.02	5728574.41	-1082.73719	85.3548183	-31.0794555	-82.9783908	-3168.49322	45.8211006	-3.86203611	50.4520116	-2360.28662	736.886944	-11.6400792	13.0307466	85.8457185	6546.26581	81.4806378	-76.1076649	88.4105969	366.400737	9261.0204	84.9133142	124.947591	408.368548	412.84267	416.386531	4333.37552	84.7825402	4512.68238	-5877.43282	5879.37132	4512.84846	5880.03676	190.224655	1630.63424	2687.25084	2725.86457	2733.26391	3239.6023	207.769707	2685.82752	3132.07029	635.939488	702.276984	1790.00056	2076.32615	2552.75634	2701.58031	595.194864	685.567617	2072.86312	2103.35636	2408.78765	2788.29418
25.0975087	790.860797	4670.79938	2076.6628	2583.82803	3264.16967	5578804.68	9449342.04	476.457404	2690358.31	1421244.19	6476740.78	1581372.11	3125623.57	3146452.29	973.760579	8883052.86	6459947.34	2622543.83	6251129.16	8464980.14	4686065.45	2960548.41	-980.892294	16.93407	-0.273514564	95.4969017	-6277.78259	-87.380939	3.60178317	86.8321308	-847.749805	-7617.63505	2.95842704	82.0919574	-8.30043947	-2194.69259	11.5102478	-12.9686314	90.7915187	9439.04301	-393.340237	84.9511775	124.988563	3232.29607	3264.20798	3233.20095	2163.64989	790.403826	2563.78631	-2565.73849	4575.17811	2564.14975	4575.34397	1530.02241	1723.07911	2168.81735	2437.29753	2498.69542	2913.23782	1528.21755	2454.66467	2497.45787	1648.4653	1820.44856	1826.52416	2354.4598	2798.04076	3071.78861	1242.60457	1267.16993	1641.76066	2354.5235	2527.34685	3117.10116
28.7283502	260.893531	1139.04381	649.152006	7904.2271	4268.85216	2655602.14	9776494.95	322.968878	4048791.61	7998150.88	7722497.36	8785617.79	8675053.45	5177364.42	115.103334	478162.729	3446502.74	6556478.4	6110834.82	6951595.04	2410937.07	2771040.72	2281.31372	74.0770169	-57.2900986	-27.4455719	3736.11882	-16.2367059	-74.6017055	86.3480005	-958.522843	1974.71393	-87.2030971	-42.4081899	-7.90966576	-3061.0431	89.5013544	40.3112277	-70.589255	2208.60078	-3972.05059	84.9248409	125.456879	4286.25417	4268.83144	4286.41804	800.985425	259.646342	1203.63754	-7848.77728	7849.02094	1203.80338	7849.68346	1556.0385	1558.57999	1869.20272	2435.17928	2570.95901	2639.78948	1867.1831	2480.67601	2569.36316	628.030508	1669.44075	1791.0728	2301.10281	2974.67219	3166.50442	1661.41074	1817.3828	2631.30159	2783.61027	2859.76326	3186.91502
