tanb	M1	M2	M3	mu	mA	msq2_11	msq2_22	msq2_23	msq2_33	msu2_11	msu2_22	msu2_33	msd2_11	msd2_22	msd2_23	msd2_33	msl2_11	msl2_22	msl2_33	mse2_11	mse2_22	mse2_33	tu_11	tu_12	tu_13	tu_21	tu_22	tu_23	tu_31	tu_32	tu_33	td_11	td_12	td_13	td_21	td_22	td_23	td_31	td_32	td_33	te_33
14.6256901	660.808092	414.678886	2806.72955	9177.4277	4694.03939	6186808.89	5463067.58	767.400307	7568076.12	1361402.53	1179483.78	9570073.04	6189032.95	9249781.44	610.22349	9086405.9	8330549.35	8979307.34	4051295.0	4845104.07	1320628.22	4773462.19	1467.0726	-62.8257951	99.2707902	-43.4184561	2630.59013	-2.37554796	21.1330017	48.9397084	-4914.84467	8117.69462	-91.2986323	19.9885801	-91.4829981	8551.81755	8.37120944	-84.3881098	-37.0292778	-1827.35189	-3168.68013
59.8174281	532.997724	1642.63192	1494.01488	3020.53382	3681.79383	1629840.9	1788981.98	617.686967	9666931.8	6950212.68	7699387.81	841907.226	5123160.25	3992815.61	306.917149	5551518.93	3555907.27	9918791.74	4458030.63	9764033.88	786500.351	4046532.34	-6716.49706	-96.47617	39.9409314	41.8091974	-6869.08074	-58.5175125	90.0460147	-93.1710674	-5242.31554	2408.00991	-71.7487131	-82.7784424	-98.3514552	-2843.14978	79.6755119	56.8327376	52.7122992	-9881.24928	7384.64063
15.4554628	377.216587	3595.92597	4337.2824	7912.31056	2428.89747	2215147.39	5258100.23	815.368966	8339529.99	4831205.5	6360519.74	5630780.19	2630746.17	2108561.28	672.870084	2447407.37	643618.248	6311796.26	8826091.72	7562981.38	7063384.67	5170068.12	-3790.03954	56.5877216	10.6650646	-70.5461382	-4982.73146	-0.53865945	97.1201709	40.4404002	5795.96285	-9083.09965	-58.512555	56.3974792	30.792835	2606.38795	84.5286402	81.1801562	43.7801244	4002.81182	4682.46648
24.795835	3396.88909	169.091264	3604.22743	4706.92428	4860.51485	2741985.13	7787386.65	959.278551	5223460.05	6090905.86	2549408.14	1940171.96	5916786.07	4290463.97	350.396853	5380209.97	8852678.22	5676751.69	9121653.29	9155725.14	582387.202	9927051.57	2144.34019	97.5288942	-20.4390644	33.4161555	8350.9833	91.7986792	42.4705302	64.0965828	4405.53723	7063.0506	84.0796797	-42.8622895	-62.3903871	-289.835633	-87.8178563	-94.5372242	13.1226169	-1901.6056	248.948345
21.3180283	578.997872	2628.26755	4934.68321	-1823.55114	1683.84078	1318048.79	1109291.01	629.341507	4562143.36	3022180.39	9939247.22	4219538.79	3316921.1	8533635.34	264.255176	1881658.99	3194901.43	2906614.57	6398705.42	4211544.56	8783772.07	9591324.0	-7222.5934	-31.1995777	74.5366745	-9.59287315	761.651206	20.3248954	92.0449606	39.8279962	2389.50525	-5702.64307	-11.7166758	-40.1782264	-69.6086722	-739.517891	98.5694058	-58.0698429	78.7652799	-5486.0012	-5545.06058
22.1169061	1227.20419	467.607142	4333.31875	5435.75909	3481.57984	7175826.69	5585174.76	620.110503	8777020.1	6049006.87	5687315.78	6635644.21	2418803.9	8578912.15	135.035366	5972765.95	9251243.9	9867922.65	6489620.62	9917517.47	7766544.57	9971064.02	804.087363	52.1579328	70.1730518	-38.6439876	1099.72538	26.2497909	-84.5630064	35.786377	4125.86316	-3745.25832	52.9287342	-66.6449431	46.1406906	2810.9392	-41.7836742	47.5104194	-28.4018085	-405.238853	-7992.25161
20.7390652	615.479562	1565.90835	2397.22423	5763.20713	4451.20338	8850114.4	5143823.97	22.4734385	9865890.94	7923461.09	6170009.79	2073813.96	3336947.47	2937293.39	338.44978	8126165.86	6527635.83	8926621.3	6261355.99	6239633.22	9614259.13	5019683.54	-2542.4705	98.1747121	74.8545819	-42.8151106	-2299.40064	-62.8780601	90.8402896	-39.1962053	8507.11503	5610.82972	-43.4471154	51.6218061	-98.0803164	1988.65807	92.7795511	60.8456391	91.6038694	7845.46505	1780.05662
54.0835631	729.086817	1211.23423	3332.05887	1236.49156	3154.9979	9703963.09	6626235.21	868.323348	4243277.05	6021544.28	6419595.84	8685196.46	8423261.4	5830376.13	754.19147	9059178.07	7442645.05	5030500.18	6702519.29	4019726.8	7781253.49	2547550.15	4886.93424	-26.1154684	-51.8185928	-95.6345093	-4158.1819	-41.8094738	92.8687758	-99.7152667	252.765707	4854.01723	36.4660352	28.3002057	-76.9871076	4074.24504	61.3648589	-34.7746207	5.46976931	9852.31035	5350.91061
3.18484692	1191.5853	318.831238	3037.67132	4448.01394	4866.78858	6251731.62	6364042.84	279.657835	2974259.36	5855995.98	8697524.83	3585585.39	8128224.76	5538465.6	88.9803716	7466373.25	1063071.08	2270244.76	2781517.12	9948754.87	3829815.77	8799773.22	2394.04435	6.95907897	27.3261578	-58.1999557	-2114.66136	-11.1066833	41.4945491	5.76606311	-3841.48278	-1879.71216	85.6042325	-56.4312908	82.7507789	-1951.44356	-67.736754	82.1231192	2.86171406	-5577.09622	7470.22958
6.79705006	1025.68725	4350.53826	3678.05525	-9541.79932	4693.40297	9294209.41	6097563.79	301.130728	8505268.27	908878.121	5796529.37	5065343.45	6015681.72	4623554.17	870.311034	5985389.92	8629158.73	8743310.07	6159160.77	2188771.9	6523370.21	7545714.8	2039.0982	12.0893185	44.8341718	66.415911	4684.99671	-94.5373551	-97.1120802	44.6157429	1513.86123	9273.85457	10.3093214	97.9980421	-85.4530203	6082.94514	27.7841831	-7.01208822	-79.6234536	751.986112	-1585.26458
